year,round,region_number,region_name,seed,score,team,team.1,score.1,seed.1,text_chunk
1985,1,1,West,1,83,St Johns,Southern,59,16,"NCAA Tournament Game (1985), Round 1, West region. St Johns (Seed 1) 83 - Southern (Seed 16) 59. ... Upset: no upset."
1985,1,1,West,2,81,VCU,Marshall,65,15,"NCAA Tournament Game (1985), Round 1, West region. VCU (Seed 2) 81 - Marshall (Seed 15) 65. ... Upset: no upset."
1985,1,1,West,3,65,NC State,Nevada,56,14,"NCAA Tournament Game (1985), Round 1, West region. NC State (Seed 3) 65 - Nevada (Seed 14) 56. ... Upset: no upset."
1985,1,1,West,4,85,UNLV,San Diego St,80,13,"NCAA Tournament Game (1985), Round 1, West region. UNLV (Seed 4) 85 - San Diego St (Seed 13) 80. ... Upset: no upset."
1985,1,1,West,5,58,Washington,Kentucky,65,12,"NCAA Tournament Game (1985), Round 1, West region. Washington (Seed 5) 58 - Kentucky (Seed 12) 65. ... Upset: UPSET."
1985,1,1,West,6,75,Tulsa,UTEP,79,11,"NCAA Tournament Game (1985), Round 1, West region. Tulsa (Seed 6) 75 - UTEP (Seed 11) 79. ... Upset: UPSET."
1985,1,1,West,7,50,Alabama,Arizona,41,10,"NCAA Tournament Game (1985), Round 1, West region. Alabama (Seed 7) 50 - Arizona (Seed 10) 41. ... Upset: no upset."
1985,1,1,West,8,54,Iowa,Arkansas,63,9,"NCAA Tournament Game (1985), Round 1, West region. Iowa (Seed 8) 54 - Arkansas (Seed 9) 63. ... Upset: UPSET."
1985,1,2,East,1,68,Georgetown,Lehigh,43,16,"NCAA Tournament Game (1985), Round 1, East region. Georgetown (Seed 1) 68 - Lehigh (Seed 16) 43. ... Upset: no upset."
1985,1,2,East,2,65,Georgia Tech,Mercer,58,15,"NCAA Tournament Game (1985), Round 1, East region. Georgia Tech (Seed 2) 65 - Mercer (Seed 15) 58. ... Upset: no upset."
1985,1,2,East,3,76,Illinois,Northeastern,57,14,"NCAA Tournament Game (1985), Round 1, East region. Illinois (Seed 3) 76 - Northeastern (Seed 14) 57. ... Upset: no upset."
1985,1,2,East,4,59,Loyola Illinois,Iona,58,13,"NCAA Tournament Game (1985), Round 1, East region. Loyola Illinois (Seed 4) 59 - Iona (Seed 13) 58. ... Upset: no upset."
1985,1,2,East,5,85,SMU,Old Dominion,68,12,"NCAA Tournament Game (1985), Round 1, East region. SMU (Seed 5) 85 - Old Dominion (Seed 12) 68. ... Upset: no upset."
1985,1,2,East,6,67,Georgia,Wichita St,59,11,"NCAA Tournament Game (1985), Round 1, East region. Georgia (Seed 6) 67 - Wichita St (Seed 11) 59. ... Upset: no upset."
1985,1,2,East,7,70,Syracuse,DePaul,65,10,"NCAA Tournament Game (1985), Round 1, East region. Syracuse (Seed 7) 70 - DePaul (Seed 10) 65. ... Upset: no upset."
1985,1,2,East,8,60,Temple,Virginia Tech,57,9,"NCAA Tournament Game (1985), Round 1, East region. Temple (Seed 8) 60 - Virginia Tech (Seed 9) 57. ... Upset: no upset."
1985,1,3,Midwest,1,96,Oklahoma,North Carolina A&T,83,16,"NCAA Tournament Game (1985), Round 1, Midwest region. Oklahoma (Seed 1) 96 - North Carolina A&T (Seed 16) 83. ... Upset: no upset."
1985,1,3,Midwest,2,67,Memphis,Pennsylvania,55,15,"NCAA Tournament Game (1985), Round 1, Midwest region. Memphis (Seed 2) 67 - Pennsylvania (Seed 15) 55. ... Upset: no upset."
1985,1,3,Midwest,3,75,Duke,Pepperdine,62,14,"NCAA Tournament Game (1985), Round 1, Midwest region. Duke (Seed 3) 75 - Pepperdine (Seed 14) 62. ... Upset: no upset."
1985,1,3,Midwest,4,75,Ohio St,Iowa St,64,13,"NCAA Tournament Game (1985), Round 1, Midwest region. Ohio St (Seed 4) 75 - Iowa St (Seed 13) 64. ... Upset: no upset."
1985,1,3,Midwest,5,78,Louisiana Tech,Pittsburgh,54,12,"NCAA Tournament Game (1985), Round 1, Midwest region. Louisiana Tech (Seed 5) 78 - Pittsburgh (Seed 12) 54. ... Upset: no upset."
1985,1,3,Midwest,6,53,Texas Tech,Boston College,55,11,"NCAA Tournament Game (1985), Round 1, Midwest region. Texas Tech (Seed 6) 53 - Boston College (Seed 11) 55. ... Upset: UPSET."
1985,1,3,Midwest,7,70,UAB,Michigan St,68,10,"NCAA Tournament Game (1985), Round 1, Midwest region. UAB (Seed 7) 70 - Michigan St (Seed 10) 68. ... Upset: no upset."
1985,1,3,Midwest,8,55,USC,Illinois St,58,9,"NCAA Tournament Game (1985), Round 1, Midwest region. USC (Seed 8) 55 - Illinois St (Seed 9) 58. ... Upset: UPSET."
1985,1,4,Southeast,1,59,Michigan,Fairleigh Dickinson,55,16,"NCAA Tournament Game (1985), Round 1, Southeast region. Michigan (Seed 1) 59 - Fairleigh Dickinson (Seed 16) 55. ... Upset: no upset."
1985,1,4,Southeast,2,76,North Carolina,Middle Tennessee St,57,15,"NCAA Tournament Game (1985), Round 1, Southeast region. North Carolina (Seed 2) 76 - Middle Tennessee St (Seed 15) 57. ... Upset: no upset."
1985,1,4,Southeast,3,49,Kansas,Ohio,38,14,"NCAA Tournament Game (1985), Round 1, Southeast region. Kansas (Seed 3) 49 - Ohio (Seed 14) 38. ... Upset: no upset."
1985,1,4,Southeast,4,55,LSU,Navy,78,13,"NCAA Tournament Game (1985), Round 1, Southeast region. LSU (Seed 4) 55 - Navy (Seed 13) 78. ... Upset: UPSET."
1985,1,4,Southeast,5,69,Maryland,Miami Ohio,68,12,"NCAA Tournament Game (1985), Round 1, Southeast region. Maryland (Seed 5) 69 - Miami Ohio (Seed 12) 68. ... Upset: no upset."
